task_type,dataset_name,target_column,multitask,multitask_info,multitask_assays,multitask_targets,use_global_features,use_self_loops,head_type,final_test_metric,validation_score,n_trials,seed,source,timestamp,filename
classification,HIV,mu,False,,,,True,,N/A,,,20.0,,optuna,,best_params_classification_HIV_mu_global_True.json
classification,HIV,mu,False,,,,True,False,N/A,,,20.0,,optuna,,best_params_classification_HIV_mu_global_True_no_loops.json
classification,TOXCAST,mu,True,MT(5 assays),"['TOX21_AhR_LUC_Agonist', 'TOX21_Aromatase_Inhibition', 'TOX21_AutoFluor_HEK293_Cell_blue', 'TOX21_p53_BLA_p3_ch1', 'TOX21_p53_BLA_p4_ratio']",,True,True,multihead,,,20.0,,optuna,,best_params_classification_TOXCAST_multihead_multitask_10738_global_True_with_loops.json
classification,TOXCAST,mu,True,MT(5 assays),"['TOX21_AhR_LUC_Agonist', 'TOX21_Aromatase_Inhibition', 'TOX21_AutoFluor_HEK293_Cell_blue', 'TOX21_p53_BLA_p3_ch1', 'TOX21_p53_BLA_p4_ratio']",,True,True,singlehead,,,20.0,,optuna,,best_params_classification_TOXCAST_singlehead_multitask_10738_global_True_with_loops.json
classification,TOXCAST,TOX21_AhR_LUC_Agonist,False,,,,True,,N/A,,,20.0,,optuna,,best_params_classification_TOXCAST_TOX21_AhR_LUC_Agonist_global_True.json
classification,TOXCAST,TOX21_Aromatase_Inhibition,False,,,,True,,N/A,,,20.0,,optuna,,best_params_classification_TOXCAST_TOX21_Aromatase_Inhibition_global_True.json
classification,TOXCAST,TOX21_AutoFluor_HEK293_Cell_blue,False,,,,True,,N/A,,,20.0,,optuna,,best_params_classification_TOXCAST_TOX21_AutoFluor_HEK293_Cell_blue_global_True.json
classification,TOXCAST,TOX21_p53_BLA_p3_ch1,False,,,,True,,N/A,,,20.0,,optuna,,best_params_classification_TOXCAST_TOX21_p53_BLA_p3_ch1_global_True.json
classification,TOXCAST,TOX21_p53_BLA_p4_ratio,False,,,,True,,N/A,,,20.0,,optuna,,best_params_classification_TOXCAST_TOX21_p53_BLA_p4_ratio_global_True.json
regression,QM8,E1-CAM,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_E1-CAM_global_True.json
regression,QM8,E1-CC2,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_E1-CC2_global_True.json
regression,QM8,E1-PBE0,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_E1-PBE0_global_True.json
regression,QM8,E2-CAM,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_E2-CAM_global_True.json
regression,QM8,E2-CC2,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_E2-CC2_global_True.json
regression,QM8,E2-PBE0,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_E2-PBE0_global_True.json
regression,QM8,f1-CAM,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_f1-CAM_global_True.json
regression,QM8,f1-CC2,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_f1-CC2_global_True.json
regression,QM8,f1-PBE0,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_f1-PBE0_global_True.json
regression,QM8,f2-CAM,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_f2-CAM_global_True.json
regression,QM8,f2-CC2,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_f2-CC2_global_True.json
regression,QM8,f2-PBE0,False,,,,True,,N/A,,,20.0,,optuna,,best_params_regression_QM8_f2-PBE0_global_True.json
regression,QM8,mu,True,MT(12 targets),,"['E1-CC2', 'E2-CC2', 'f1-CC2', 'f2-CC2', 'E1-PBE0', 'E2-PBE0', 'f1-PBE0', 'f2-PBE0', 'E1-CAM', 'E2-CAM', 'f1-CAM', 'f2-CAM']",True,True,multihead,,,20.0,,optuna,,best_params_regression_QM8_multihead_multitask_5136_global_True_with_loops.json
